308.0,1,Alabama,9,39,60,,Nov 04,,,,,,,,Final results-1
300.5,2,Alabama,9,36,61,,Oct 28,,,,,,,,SurveyUSA-2
288.5,2,Alabama,9,34,54,,Oct 16,,,,,,,,Capital Survey-2
281.5,2,Alabama,9,35,62,,Oct 09,,,,,,,,SurveyUSA-2
279.5,2,Alabama,9,35,55,,Oct 07,,,,,,,,Capital Survey-2
265.0,1,Alabama,9,39,60,,Sep 22,,,,,,,,Rasmussen-1
259.5,2,Alabama,9,34,64,,Sep 17,,,,,,,,SurveyUSA-2
257.5,4,Alabama,9,36,58,,Sep 16,,,,,,,,ARG-4
254.5,8,Alabama,9,25,52,,Sep 15,,,,,,,,U. of South Alabama-8
249.0,7,Alabama,9,35,55,,Sep 09,,,,,,,,Capital Survey-7
213.0,7,Alabama,9,34,47,,Aug 04,,,,,,,,Capital Survey-7
212.0,1,Alabama,9,37,55,,Jul 31,,,,,,,,Rasmussen-1
177.0,1,Alabama,9,36,51,,Jun 26,,,,,,,,Rasmussen-1
176.5,2,Alabama,9,36,49,,Jun 26,,,,,,,,Capital Survey-2
151.0,5,Alabama,9,33,57,,Jun 02,,,,,,,,Capital Survey-5
147.0,1,Alabama,9,32,60,,May 27,,,,,,,,Rasmussen-1
137.0,3,Alabama,9,34,57,,May 18,,,,,,,,SurveyUSA-3
110.0,9,Alabama,9,36,55,,Apr 24,,,,,,,,Capital Survey-9
102.0,3,Alabama,9,32,64,,Apr 13,,,,,,,,SurveyUSA-3
 92.0,1,Alabama,9,37,55,,Apr 02,,,,,,,,Rasmussen-1
 84.5,4,Alabama,9,30,57,,Mar 27,,,,,,,,U. of South Alabama-4
 74.0,3,Alabama,9,35,62,,Mar 16,,,,,,,,SurveyUSA-3
 58.0,3,Alabama,9,40,54,,Feb 28,,,,,,,,SurveyUSA-3
 16.5,2,Alabama,9,29,63,,Jan 17,,,,,,,,SurveyUSA-2
308.0,1,Alaska,3,38,59,,Nov 04,,,,,,,,Final results-1
301.0,1,Alaska,3,41,57,,Oct 28,,,,,,,,Rasmussen-1
291.0,3,Alaska,3,42,53,,Oct 19,,,,,,,,Ivan Moore Research-3
279.0,1,Alaska,3,40,55,,Oct 06,,,,,,,,Rasmussen-1
277.5,4,Alaska,3,38,55,,Oct 06,,,,,,,,Ivan Moore Research-4
262.0,5,Alaska,3,37,55,,Sep 21,,,,,,,,Fairleigh Dickinson U.-5
253.0,3,Alaska,3,39,55,,Sep 11,,,,,,,,ARG-3
252.0,1,Alaska,3,33,64,,Sep 09,,,,,,,,Rasmussen-1
243.5,4,Alaska,3,35,54,,Sep 02,,,,,,,,Ivan Moore Research-4
211.0,1,Alaska,3,39,44,,Jul 30,,,,,,,,Rasmussen-1
198.0,1,Alaska,3,40,45,,Jul 17,,,,,,,,Rasmussen-1
167.0,1,Alaska,3,41,45,,Jun 16,,,,,,,,Rasmussen-1
134.0,1,Alaska,3,41,50,,May 14,,,,,,,,Rasmussen-1
 97.0,1,Alaska,3,43,48,,Apr 07,,,,,,,,Rasmussen-1
 58.0,3,Alaska,3,43,48,,Feb 28,,,,,,,,SurveyUSA-3
308.0,1,Arizona,10,45,54,,Nov 04,,,,,,,,Final results-1
302.0,3,Arizona,10,46,50,,Oct 30,,,,,,,,ARG-3
300.5,2,Arizona,10,44,48,,Oct 28,,,,,,,,Mason-Dixon-2
299.0,1,Arizona,10,46,51,,Oct 26,,,,,,,,Rasmussen-1
298.5,6,Arizona,10,46,53,,Oct 28,,,,,,,,Opinion Research-6
297.5,4,Arizona,10,44,46,,Oct 26,,,,,,,,Arizona State U.-4
295.5,10,Arizona,10,41,49,,Oct 27,,,,,,,,Northern Arizona U.-10
290.5,4,Arizona,10,42,44,,Oct 19,,,,,,,,Zimmerman-4
272.0,1,Arizona,10,38,59,,Sep 29,,,,,,,,Rasmussen-1
269.5,4,Arizona,10,38,45,,Sep 28,,,,,,,,Arizona State U.-4
255.5,4,Arizona,10,39,56,,Sep 14,,,,,,,,ARG-4
227.0,3,Arizona,10,30,40,,Aug 16,,,,,,,,Arizona State U.-3
226.0,3,Arizona,10,41,47,,Aug 15,,,,,,,,Mason-Dixon-3
211.0,1,Arizona,10,36,52,,Jul 30,,,,,,,,Rasmussen-1
176.0,1,Arizona,10,40,49,,Jun 25,,,,,,,,Rasmussen-1
171.5,2,Arizona,10,28,38,,Jun 21,,,,,,,,Arizona State U.-2
136.0,9,Arizona,10,39,50,,May 20,,,,,,,,Rocky Mtn Poll-9
115.5,4,Arizona,10,38,47,,Apr 27,,,,,,,,Arizona State U.-4
105.0,1,Arizona,10,37,57,,Apr 15,,,,,,,,Rasmussen-1
 93.5,10,Arizona,10,33,55,,Apr 08,,,,,,,,Northern Arizona U.-10
 58.0,3,Arizona,10,39,51,,Feb 28,,,,,,,,SurveyUSA-3
 53.5,4,Arizona,10,38,49,,Feb 24,,,,,,,,Arizona State U.-4
308.0,1,Arkansas,6,39,59,,Nov 04,,,,,,,,Final results-1
302.5,4,Arkansas,6,44,51,,Oct 31,,,,,,,,ARG-4
300.0,1,Arkansas,6,44,54,,Oct 27,,,,,,,,Rasmussen-1
284.0,21,Arkansas,6,36,51,,Oct 21,,,,,,,,U. of Arkansas-21
265.0,1,Arkansas,6,42,51,,Sep 22,,,,,,,,Rasmussen-1
264.0,3,Arkansas,6,41,53,,Sep 22,,,,,,,,ARG-3
195.0,1,Arkansas,6,37,47,,Jul 14,,,,,,,,Rasmussen-1
167.0,1,Arkansas,6,41,45,,Jun 16,,,,,,,,Rasmussen-1
163.0,1,Arkansas,6,39,48,,Jun 12,,,,,,,,Rasmussen-1
132.0,1,Arkansas,6,33,57,,May 12,,,,,,,,Rasmussen-1
 77.0,1,Arkansas,6,30,59,,Mar 18,,,,,,,,Rasmussen-1
 67.5,6,Arkansas,6,27,43,,Mar 11,,,,,,,,Opinion Res.-6
 58.0,3,Arkansas,6,33,53,,Feb 28,,,,,,,,SurveyUSA-3
308.0,1,California,55,61,37,,Nov 04,,,,,,,,Final results-1
303.0,3,California,55,60,36,,Oct 31,,,,,,,,SurveyUSA-3
298.0,1,California,55,61,34,,Oct 25,,,,,,,,Rasmussen-1
296.0,11,California,55,55,33,,Oct 28,,,,,,,,Field Poll-11
288.5,2,California,55,59,35,,Oct 16,,,,,,,,SurveyUSA-2
288.5,8,California,55,56,33,,Oct 19,,,,,,,,Public Policy Inst. of Calif.-8
282.0,1,California,55,56,40,,Oct 09,,,,,,,,Rasmussen-1
277.5,2,California,55,55,39,,Oct 05,,,,,,,,SurveyUSA-2
266.5,2,California,55,53,43,,Sep 24,,,,,,,,SurveyUSA-2
265.0,1,California,55,56,39,,Sep 22,,,,,,,,Rasmussen-1
262.0,3,California,55,53,39,,Sep 20,,,,,,,,ARG-3
255.5,8,California,55,50,40,,Sep 16,,,,,,,,Public Policy Inst. of Calif.-8
252.5,10,California,55,52,36,,Sep 14,,,,,,,,Field Poll-10
232.0,1,California,55,51,37,,Aug 20,,,,,,,,Rasmussen-1
227.5,8,California,55,48,39,,Aug 19,,,,,,,,Pub. Policy Inst. of Calif.-8
205.0,1,California,55,50,38,,Jul 24,,,,,,,,Rasmussen-1
196.0,15,California,55,50,35,,Jul 22,,,,,,,,Pub. Policy Inst. of Calif.-15
192.0,7,California,55,54,30,,Jul 14,,,,,,,,Field Poll-7
174.0,1,California,55,58,30,,Jun 23,,,,,,,,Rasmussen-1
169.0,3,California,55,53,41,,Jun 19,,,,,,,,SurveyUSA-3
141.5,12,California,55,52,35,,May 27,,,,,,,,Field Poll-12
140.5,2,California,55,47,40,,May 21,,,,,,,,LA Times-2
140.0,1,California,55,52,38,,May 20,,,,,,,,Rasmussen-1
137.0,3,California,55,49,41,,May 18,,,,,,,,SurveyUSA-3
106.0,1,California,55,50,43,,Apr 16,,,,,,,,Rasmussen-1
102.0,3,California,55,50,43,,Apr 13,,,,,,,,SurveyUSA-3
 74.0,3,California,55,54,40,,Mar 16,,,,,,,,SurveyUSA-3
 73.5,8,California,55,49,40,,Mar 18,,,,,,,,Public Policy Inst. of Calif.-8
 71.0,1,California,55,53,38,,Mar 12,,,,,,,,Rasmussen-1
 58.0,3,California,55,51,40,,Feb 28,,,,,,,,SurveyUSA-3
 47.0,3,California,55,61,34,,Feb 17,,,,,,,,SurveyUSA-3
308.0,1,Colorado,9,54,45,,Nov 04,,,,,,,,Final results-1
302.0,3,Colorado,9,52,45,,Oct 30,,,,,,,,ARG-3
301.5,2,Colorado,9,49,44,,Oct 29,,,,,,,,Mason-Dixon-2
300.5,2,Colorado,9,51,45,,Oct 28,,,,,,,,Marist Coll.-2
299.0,1,Colorado,9,50,46,,Oct 26,,,,,,,,Rasmussen-1
299.0,1,Colorado,9,53,45,,Oct 26,,,,,,,,Insider Advantage-1
298.5,6,Colorado,9,53,45,,Oct 28,,,,,,,,Opinion Research-6
298.0,5,Colorado,9,48,44,,Oct 27,,,,,,,,Financial Dynamics-5
297.0,5,Colorado,9,50,41,,Oct 26,,,,,,,,GfK Roper-5
295.0,3,Colorado,9,52,40,,Oct 23,,,,,,,,Public Opinion Strat.-3
293.0,1,Colorado,9,51,46,,Oct 20,,,,,,,,Insider Advantage-1
292.0,1,Colorado,9,51,46,,Oct 19,,,,,,,,Rasmussen-1
289.0,1,Colorado,9,52,45,,Oct 16,,,,,,,,Rasmussen-1
285.5,4,Colorado,9,51,47,,Oct 14,,,,,,,,Opinion Research-4
284.5,4,Colorado,9,47,43,,Oct 13,,,,,,,,Suffolk U.-4
283.0,5,Colorado,9,52,43,,Oct 12,,,,,,,,Quinnipiac U.-5
279.0,1,Colorado,9,51,45,,Oct 06,,,,,,,,Insider Advantage-1
278.0,1,Colorado,9,51,45,,Oct 05,,,,,,,,Rasmussen-1
273.0,3,Colorado,9,44,44,,Oct 01,,,,,,,,Mason-Dixon-3
271.0,1,Colorado,9,49,48,,Sep 28,,,,,,,,Rasmussen-1
267.0,3,Colorado,9,45,48,,Sep 25,,,,,,,,ARG-3
266.0,1,Colorado,9,50,41,,Sep 23,,,,,,,,Insider Advantage-1
266.0,1,Colorado,9,50,47,,Sep 23,,,,,,,,Rasmussen-1
265.0,3,Colorado,9,51,47,,Sep 23,,,,,,,,Opinion Research-3
264.0,5,Colorado,9,44,43,,Sep 23,,,,,,,,Ciruli Assoc.-5
260.5,8,Colorado,9,49,45,,Sep 21,,,,,,,,Quinnipiac U.-8
260.0,1,Colorado,9,51,41,,Sep 17,,,,,,,,Insider Advantage-1
257.0,1,Colorado,9,46,48,,Sep 14,,,,,,,,Rasmussen-1
256.0,5,Colorado,9,45,44,,Sep 15,,,,,,,,Financial Dynamics-5
254.5,4,Colorado,9,44,46,,Sep 13,,,,,,,,ARG-4
252.5,2,Colorado,9,49,46,,Sep 10,,,,,,,,Insider Advantage-2
250.0,1,Colorado,9,49,46,,Sep 07,,,,,,,,Rasmussen-1
237.0,3,Colorado,9,46,47,,Aug 26,,,,,,,,Opinion Research-3
234.5,4,Colorado,9,44,39,,Aug 24,,,,,,,,Suffolk U.-4
230.0,7,Colorado,9,46,47,,Aug 21,,,,,,,,Quinnipiac U.-7
226.0,3,Colorado,9,46,43,,Aug 15,,,,,,,,Mason-Dixon-3
225.0,1,Colorado,9,45,47,,Aug 13,,,,,,,,Rasmussen-1
224.0,3,Colorado,9,41,44,,Aug 13,,,,,,,,Rocky Mtn Poll-3
202.0,1,Colorado,9,49,42,,Jul 21,,,,,,,,Rasmussen-1
199.0,9,Colorado,9,44,46,,Jul 22,,,,,,,,Quinnipiac U.-9
171.5,8,Colorado,9,49,44,,Jun 24,,,,,,,,Quinnipiac U.-8
168.0,1,Colorado,9,43,41,,Jun 17,,,,,,,,Rasmussen-1
139.0,1,Colorado,9,48,42,,May 19,,,,,,,,Rasmussen-1
106.0,1,Colorado,9,46,43,,Apr 16,,,,,,,,Rasmussen-1
 76.0,1,Colorado,9,46,46,,Mar 17,,,,,,,,Rasmussen-1
 58.0,3,Colorado,9,50,41,,Feb 28,,,,,,,,SurveyUSA-3
308.0,1,Connecticut,7,61,38,,Nov 04,,,,,,,,Final results-1
293.0,5,Connecticut,7,56,31,,Oct 22,,,,,,,,U. of Connecticut-5
287.0,1,Connecticut,7,56,39,,Oct 14,,,,,,,,Rasmussen-1
267.5,2,Connecticut,7,54,38,,Sep 25,,,,,,,,SurveyUSA-2
264.0,5,Connecticut,7,49,35,,Sep 23,,,,,,,,Pulsar Research-5
261.0,3,Connecticut,7,54,39,,Sep 19,,,,,,,,ARG-3
259.0,1,Connecticut,7,53,41,,Sep 16,,,,,,,,Rasmussen-1
212.0,1,Connecticut,7,51,36,,Jul 31,,,,,,,,Rasmussen-1
181.0,1,Connecticut,7,52,35,,Jun 30,,,,,,,,Rasmussen-1
178.5,4,Connecticut,7,56,35,,Jun 29,,,,,,,,Quinnipiac U.-4
149.0,1,Connecticut,7,47,44,,May 29,,,,,,,,Rasmussen-1
 80.5,6,Connecticut,7,52,35,,Mar 24,,,,,,,,Quinnipiac U.-6
 70.0,1,Connecticut,7,50,38,,Mar 11,,,,,,,,Rasmussen-1
 58.0,3,Connecticut,7,55,34,,Feb 28,,,,,,,,SurveyUSA-3
308.0,1,D.C.,3,92,7,,Nov 04,,,,,,,,Final results-1
255.0,3,D.C.,3,82,13,,Sep 13,,,,,,,,ARG-3
308.0,1,Delaware,3,62,37,,Nov 04,,,,,,,,Final results-1
300.5,2,Delaware,3,63,33,,Oct 28,,,,,,,,SurveyUSA-2
283.0,1,Delaware,3,56,41,,Oct 10,,,,,,,,Rasmussen-1
280.0,3,Delaware,3,56,38,,Oct 08,,,,,,,,West Chester U.-3
265.5,2,Delaware,3,57,37,,Sep 23,,,,,,,,SurveyUSA-2
262.0,5,Delaware,3,56,36,,Sep 21,,,,,,,,Fairleigh Dickinson U.-5
257.0,3,Delaware,3,51,40,,Sep 15,,,,,,,,ARG-3
256.0,1,Delaware,3,55,43,,Sep 13,,,,,,,,Rasmussen-1
 58.0,3,Delaware,3,50,41,,Feb 28,,,,,,,,SurveyUSA-3
308.0,1,Florida,27,51,48,,Nov 04,,,,,,,,Final results-1
304.5,4,Florida,27,48,46,,Nov 02,,,,,,,,Zogby-4
303.0,3,Florida,27,50,46,,Oct 31,,,,,,,,ARG-3
302.5,2,Florida,27,47,45,,Oct 30,,,,,,,,Mason-Dixon-2
302.5,2,Florida,27,47,47,,Oct 30,,,,,,,,Datamar-2
299.0,1,Florida,27,51,47,,Oct 26,,,,,,,,Rasmussen-1
299.0,3,Florida,27,50,43,,Oct 27,,,,,,,,LA Times-3
298.5,2,Florida,27,49,44,,Oct 26,,,,,,,,Datamar-2
298.5,6,Florida,27,51,47,,Oct 28,,,,,,,,Opinion Research-6
298.0,5,Florida,27,45,44,,Oct 27,,,,,,,,Financial Dynamics-5
297.5,4,Florida,27,47,47,,Oct 26,,,,,,,,Zogby-4
297.5,4,Florida,27,49,44,,Oct 26,,,,,,,,Suffolk U.-4
297.0,5,Florida,27,45,43,,Oct 26,,,,,,,,GfK Roper-5
297.0,5,Florida,27,47,45,,Oct 26,,,,,,,,Quinnipiac U.-5
295.0,1,Florida,27,48,47,,Oct 22,,,,,,,,Insider Advantage-1
294.0,3,Florida,27,49,42,,Oct 22,,,,,,,,Polling Company-3
293.5,2,Florida,27,45,46,,Oct 21,,,,,,,,Mason-Dixon-2
292.0,1,Florida,27,48,49,,Oct 19,,,,,,,,Rasmussen-1
291.5,6,Florida,27,49,44,,Oct 21,,,,,,,,Quinnipiac U.-6
289.5,2,Florida,27,47,49,,Oct 17,,,,,,,,SurveyUSA-2
286.0,1,Florida,27,48,44,,Oct 13,,,,,,,,Insider Advantage-1
285.5,2,Florida,27,47,42,,Oct 13,,,,,,,,Datamar-2
285.5,4,Florida,27,51,46,,Oct 14,,,,,,,,Opinion Research-4
285.0,1,Florida,27,51,46,,Oct 12,,,,,,,,Rasmussen-1
281.0,1,Florida,27,50,47,,Oct 08,,,,,,,,Rasmussen-1
278.0,1,Florida,27,52,45,,Oct 05,,,,,,,,Rasmussen-1
278.0,3,Florida,27,48,46,,Oct 06,,,,,,,,Mason-Dixon-3
273.0,1,Florida,27,49,46,,Sep 30,,,,,,,,Insider Advantage-1
272.0,3,Florida,27,51,47,,Sep 30,,,,,,,,Opinion Research-3
271.5,4,Florida,27,46,42,,Sep 30,,,,,,,,Suffolk U.-4
271.0,1,Florida,27,47,47,,Sep 28,,,,,,,,Rasmussen-1
271.0,3,Florida,27,51,43,,Sep 29,,,,,,,,Quinnipiac U.-3
270.5,2,Florida,27,47,48,,Sep 28,,,,,,,,SurveyUSA-2
267.0,1,Florida,27,47,48,,Sep 24,,,,,,,,Rasmussen-1
267.0,3,Florida,27,47,46,,Sep 25,,,,,,,,ARG-3
264.0,1,Florida,27,46,51,,Sep 21,,,,,,,,Rasmussen-1
260.0,3,Florida,27,47,45,,Sep 18,,,,,,,,Mason-Dixon-3
259.5,2,Florida,27,45,51,,Sep 17,,,,,,,,SurveyUSA-2
258.5,4,Florida,27,45,47,,Sep 17,,,,,,,,Schroth/Polling Co.-4
258.5,4,Florida,27,46,46,,Sep 17,,,,,,,,ARG-4
258.0,3,Florida,27,48,48,,Sep 16,,,,,,,,Opinion Research-3
257.0,1,Florida,27,44,49,,Sep 14,,,,,,,,Rasmussen-1
256.0,5,Florida,27,44,44,,Sep 15,,,,,,,,Financial Dynamics-5
252.5,2,Florida,27,42,50,,Sep 10,,,,,,,,Insider Advantage-2
250.0,1,Florida,27,48,48,,Sep 07,,,,,,,,Rasmussen-1
250.0,5,Florida,27,43,50,,Sep 09,,,,,,,,Quinnipiac U.-5
237.5,2,Florida,27,45,44,,Aug 26,,,,,,,,Mason-Dixon-2
232.5,8,Florida,27,43,47,,Aug 24,,,,,,,,Quinnipiac U.-8
231.0,3,Florida,27,46,47,,Aug 20,,,,,,,,ARG-3
230.0,1,Florida,27,43,46,,Aug 18,,,,,,,,Rasmussen-1
223.0,1,Florida,27,44,48,,Aug 11,,,,,,,,Insider Advantage-1
214.0,3,Florida,27,44,50,,Aug 03,,,,,,,,SurveyUSA-3
207.0,7,Florida,27,46,44,,Jul 29,,,,,,,,Quinnipiac U.-7
203.0,1,Florida,27,46,45,,Jul 22,,,,,,,,Rasmussen-1
201.0,3,Florida,27,45,47,,Jul 21,,,,,,,,ARG-3
177.0,1,Florida,27,41,48,,Jun 26,,,,,,,,Rasmussen-1
169.0,1,Florida,27,39,47,,Jun 18,,,,,,,,Rasmussen-1
166.0,5,Florida,27,49,44,,Jun 17,,,,,,,,ARG-5
163.5,8,Florida,27,47,43,,Jun 16,,,,,,,,Quinnipiac U.-8
139.0,1,Florida,27,40,50,,May 19,,,,,,,,Rasmussen-1
136.5,8,Florida,27,41,45,,May 20,,,,,,,,Quinnipiac U.-8
116.0,7,Florida,27,43,44,,Apr 29,,,,,,,,Quinnipiac U.-7
100.0,1,Florida,27,38,53,,Apr 10,,,,,,,,Rasmussen-1
 86.5,8,Florida,27,37,46,,Mar 31,,,,,,,,Quinnipiac U.-8
 71.0,1,Florida,27,43,47,,Mar 12,,,,,,,,Rasmussen-1
 58.0,3,Florida,27,45,47,,Feb 28,,,,,,,,SurveyUSA-3
 47.0,1,Florida,27,37,53,,Feb 16,,,,,,,,Rasmussen-1
308.0,1,Georgia,15,47,52,,Nov 04,,,,,,,,Final results-1
303.0,1,Georgia,15,47,52,,Oct 30,,,,,,,,Rasmussen-1
300.0,1,Georgia,15,47,48,,Oct 27,,,,,,,,Insider Advantage-1
298.5,6,Georgia,15,47,52,,Oct 28,,,,,,,,Opinion Research-6
296.0,1,Georgia,15,48,47,,Oct 23,,,,,,,,Insider Advantage-1
295.5,2,Georgia,15,43,49,,Oct 23,,,,,,,,Mason-Dixon-2
295.0,1,Georgia,15,46,51,,Oct 22,,,,,,,,Rasmussen-1
285.5,4,Georgia,15,45,53,,Oct 14,,,,,,,,Opinion Research-4
284.5,2,Georgia,15,43,51,,Oct 12,,,,,,,,SurveyUSA-2
282.0,1,Georgia,15,46,49,,Oct 09,,,,,,,,Insider Advantage-1
280.0,1,Georgia,15,45,54,,Oct 07,,,,,,,,Rasmussen-1
273.0,1,Georgia,15,44,50,,Sep 30,,,,,,,,Insider Advantage-1
271.5,2,Georgia,15,44,52,,Sep 29,,,,,,,,SurveyUSA-2
262.5,4,Georgia,15,39,57,,Sep 21,,,,,,,,ARG-4
260.0,1,Georgia,15,43,51,,Sep 17,,,,,,,,Insider Advantage-1
259.0,1,Georgia,15,43,54,,Sep 16,,,,,,,,Rasmussen-1
258.0,3,Georgia,15,41,57,,Sep 16,,,,,,,,SurveyUSA-3
253.0,1,Georgia,15,38,56,,Sep 10,,,,,,,,Insider Advantage-1
226.0,1,Georgia,15,43,50,,Aug 14,,,,,,,,Rasmussen-1
198.0,1,Georgia,15,39,48,,Jul 17,,,,,,,,Rasmussen-1
183.0,1,Georgia,15,44,46,,Jul 02,,,,,,,,Insider Advantage-1
177.0,1,Georgia,15,43,53,,Jun 26,,,,,,,,Rasmussen-1
169.0,1,Georgia,15,43,44,,Jun 18,,,,,,,,Insider Advantage-1
155.0,1,Georgia,15,41,51,,Jun 04,,,,,,,,Rasmussen-1
126.0,1,Georgia,15,39,53,,May 06,,,,,,,,Rasmussen-1
 79.0,1,Georgia,15,40,53,,Mar 20,,,,,,,,Rasmussen-1
 58.0,3,Georgia,15,41,54,,Feb 28,,,,,,,,SurveyUSA-3
308.0,1,Hawaii,4,72,27,,Nov 04,,,,,,,,Final results-1
263.0,1,Hawaii,4,68,27,,Sep 20,,,,,,,,Rasmussen-1
252.5,6,Hawaii,4,63,32,,Sep 12,,,,,,,,ARG-6
 58.0,3,Hawaii,4,61,31,,Feb 28,,,,,,,,SurveyUSA-3
308.0,1,Idaho,4,36,62,,Nov 04,,,,,,,,Final results-1
252.0,1,Idaho,4,29,68,,Sep 09,,,,,,,,Rasmussen-1
252.0,3,Idaho,4,25,68,,Sep 10,,,,,,,,ARG-3
232.0,5,Idaho,4,29,52,,Aug 22,,,,,,,,Greg Smith-5
 58.0,3,Idaho,4,39,52,,Feb 28,,,,,,,,SurveyUSA-3
308.0,1,Illinois,21,62,37,,Nov 04,,,,,,,,Final results-1
305.0,1,Illinois,21,60,38,,Nov 01,,,,,,,,Rasmussen-1
293.5,4,Illinois,21,61,32,,Oct 22,,,,,,,,U. of Wisconsin-4
290.0,3,Illinois,21,56,32,,Oct 18,,,,,,,,Market Shares-3
286.0,1,Illinois,21,56,39,,Oct 13,,,,,,,,Rasmussen-1
260.0,1,Illinois,21,56,40,,Sep 17,,,,,,,,Rasmussen-1
258.5,4,Illinois,21,53,37,,Sep 17,,,,,,,,U. of Wisconsin-4
257.5,4,Illinois,21,51,45,,Sep 16,,,,,,,,ARG-4
224.0,1,Illinois,21,53,38,,Aug 12,,,,,,,,Rasmussen-1
189.0,1,Illinois,21,50,37,,Jul 08,,,,,,,,Rasmussen-1
 58.0,3,Illinois,21,60,31,,Feb 28,,,,,,,,SurveyUSA-3
308.0,1,Indiana,11,50,49,,Nov 04,,,,,,,,Final results-1
304.5,4,Indiana,11,44,49,,Nov 02,,,,,,,,Zogby-4
302.5,4,Indiana,11,48,48,,Oct 31,,,,,,,,ARG-4
301.5,2,Indiana,11,46,49,,Oct 29,,,,,,,,Rasmussen-2
301.5,4,Indiana,11,47,47,,Oct 30,,,,,,,,SurveyUSA-4
300.0,3,Indiana,11,46,45,,Oct 28,,,,,,,,Selzer-3
297.5,4,Indiana,11,44,50,,Oct 26,,,,,,,,Zogby-4
296.5,2,Indiana,11,45,47,,Oct 24,,,,,,,,Howey-Gauge-2
294.5,2,Indiana,11,49,45,,Oct 22,,,,,,,,SurveyUSA-2
293.5,4,Indiana,11,51,41,,Oct 22,,,,,,,,U. of Wisconsin-4
280.0,1,Indiana,11,43,50,,Oct 07,,,,,,,,Rasmussen-1
277.5,4,Indiana,11,46,51,,Oct 06,,,,,,,,Opinion Research-4
271.5,2,Indiana,11,45,48,,Sep 29,,,,,,,,SurveyUSA-2
260.5,2,Indiana,11,47,49,,Sep 18,,,,,,,,Rasmussen-2
259.5,4,Indiana,11,44,47,,Sep 18,,,,,,,,ARG-4
258.5,4,Indiana,11,43,47,,Sep 17,,,,,,,,U. of Wisconsin-4
258.0,3,Indiana,11,45,51,,Sep 16,,,,,,,,Opinion Research-3
258.0,3,Indiana,11,47,44,,Sep 16,,,,,,,,Selzer-3
241.5,2,Indiana,11,43,45,,Aug 30,,,,,,,,Howey-Gauge-2
232.0,3,Indiana,11,42,46,,Aug 21,,,,,,,,Rasmussen-3
229.0,3,Indiana,11,44,50,,Aug 18,,,,,,,,SurveyUSA-3
173.0,3,Indiana,11,48,47,,Jun 23,,,,,,,,SurveyUSA-3
149.5,6,Indiana,11,38,47,,Jun 01,,,,,,,,Ind. Legis. Insight-6
